Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,1/30/19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Bosnia and Herzegovina,BIH,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,949.4313675,1202.849749,2353.142821,3240.458417,3788.587932,4206.15393,4529.325724,4731.221849,5114.267756,5348.960312,6172.578892,6451.904817,7378.832895,8164.262131,9006.428506,9004.909867,9305.797495,9901.553536,10181.95024,10825.90332,11164.21549,11650.41135,12346.33391,13107.72259,
Belarus,BLR,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5407.630823,5517.865517,5090.870996,4805.066337,4338.251752,3980.991005,4181.114215,4757.614796,5238.075452,5522.232938,6003.689136,6463.73694,6938.107739,7628.061573,8795.014046,9999.402246,11406.90168,12776.06794,14405.07815,14575.96606,15931.66319,17166.69564,17794.17415,18260.09657,18891.71114,18336.02933,18078.09603,18836.51968,
Belize,BLZ,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3306.538673,3737.063534,4212.857165,4507.247027,4517.68727,4523.005281,4524.593863,4594.641811,4636.669889,4933.61915,5511.701404,5741.997743,5959.838691,6474.721507,6786.503036,7003.127272,7355.042749,7438.296768,7630.706929,7548.803628,7710.915714,7855.082443,8051.145743,8071.556441,8337.792549,8533.207853,8411.777972,8507.074865,
Bermuda,BMU,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26210.9109,26261.12594,27038.87672,28362.56613,28938.43927,30621.69158,31787.7791,33613.37247,35044.95134,36579.56343,40535.20826,43976.09251,43706.03474,45797.32036,47835.43923,49877.28411,53949.42371,56640.989,58288.61209,55320.16171,55254.21412,54984.51039,53097.69629,52436.05641,,,,,
Bolivia,BOL,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2396.114889,2555.4689,2604.906348,2726.410102,2857.413465,2993.81087,3119.282353,3264.947037,3399.254308,3399.734989,3497.279428,3570.056776,3647.57123,3753.050865,3946.708545,4180.318268,4438.624699,4684.946885,4986.880533,5108.873594,5298.084512,5598.508445,5899.641861,6303.06642,6662.829762,6955.18277,7234.195243,7559.639404,
Brazil,BRA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6686.227659,6892.126837,6898.855909,7271.664814,7696.579701,8073.132315,8268.667378,8559.118825,8547.342725,8588.208681,9012.955425,9216.321377,9515.100023,9690.072499,10401.84334,10950.56977,11603.60237,12501.12841,13259.7294,13212.37847,14243.49214,14973.09847,15398.4287,15971.00897,16195.87112,15656.26667,15181.47137,15483.54083,
Barbados,BRB,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9147.802433,9051.090952,8580.955909,8861.870248,9360.053895,9713.870065,10245.5033,10873.80893,11360.19285,11529.80148,12275.0545,12218.3733,12468.84286,12955.08891,13457.42101,14394.21876,15618.75415,16251.66712,16520.94123,15918.98623,16092.67433,16472.0832,16763.8855,16980.44401,17234.87231,17527.83285,18058.25929,18520.03343,
Brunei Darussalam,BRN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,54726.56428,56686.65688,59033.17092,58946.12817,60426.84584,62787.25312,64153.18205,62779.1078,61685.8076,63143.47609,65034.83466,66960.52082,69246.74818,71337.23521,72411.57528,73873.29024,78398.18966,79616.87031,78682.98083,76964.31777,78923.39047,82434.88309,83504.30252,81827.27346,80155.54299,79439.06245,77420.61217,78836.12468,
Bhutan,BTN,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1502.880658,1546.558798,1672.518169,1774.393014,1926.237625,2112.168359,2251.159143,2369.510712,2474.173708,2637.73006,2804.932757,3019.00093,3300.162931,3524.926753,3734.48887,4026.341876,4331.461906,5131.410377,5372.132429,5664.127805,6289.814364,6805.878456,7162.293474,7317.337414,7760.090183,8249.249841,8907.287502,9371.651309,
Botswana,BWA,"GDP per capita, PPP (current international $)",NY.GDP.PCAP.PP.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5131.423474,5541.581706,5676.567473,5768.995262,5954.417525,6354.734049,6698.699365,7229.301359,7199.541874,7873.771645,8077.682429,8156.950755,8661.384037,9117.835295,9490.597083,10095.96446,11106.61536,12151.32981,12947.48722,11843.47381,12788.76859,13596.16709,14200.74841,15771.11861,16411.36673,16007.78594,16603.03499,16988.11899,
